"filename", "language", "XML", "Batch", "Java Properties", "Java", "YAML", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\e_Upedidos.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 40, 3, 10, 53
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\estilos.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 104, 1, 30, 135
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\estilos2.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 104, 0, 16, 120
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\estilos3.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 9, 66
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 101, 6, 10, 117
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\gstyle.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 31, 3, 2, 36
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 73, 3, 2, 78
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\imagenes.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 266, 27, 30, 323
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\indexprincipal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 142, 22, 12, 176
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\nosotros.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 32, 8, 5, 45
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\vPuntoVenta.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\js\captcha.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\Login.html", "HTML", 0, 0, 0, 0, 0, 187, 0, 0, 4, 40, 231
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aDashboard.html", "HTML", 0, 0, 0, 0, 0, 217, 0, 0, 2, 23, 242
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aHeader.html", "HTML", 0, 0, 0, 0, 0, 35, 0, 0, 5, 3, 43
